Time;opctyngrppub01 : Actives;anomalie
20/07/2022 18:00;383;0
20/07/2022 20:00;280;0
20/07/2022 22:00;208;0
21/07/2022 00:00;1534;0
21/07/2022 02:00;6367;0
21/07/2022 04:00;5461;0
21/07/2022 06:00;167;0
21/07/2022 08:00;372;0
21/07/2022 10:00;618;0
21/07/2022 12:00;518;0
21/07/2022 14:00;445;0
21/07/2022 16:00;488;0
21/07/2022 18:00;374;0
21/07/2022 20:00;244;0
21/07/2022 22:00;179;0
22/07/2022 00:00;1536;0
22/07/2022 02:00;6328;0
22/07/2022 04:00;5377;0
22/07/2022 06:00;169;0
22/07/2022 08:00;362;0
22/07/2022 10:00;608;0
22/07/2022 12:00;527;0
22/07/2022 14:00;417;0
22/07/2022 16:00;448;0
22/07/2022 18:00;349;0
22/07/2022 20:00;253;0
22/07/2022 22:00;194;0
23/07/2022 00:00;1543;0
23/07/2022 02:00;6340;0
23/07/2022 04:00;5391;0
23/07/2022 06:00;166;0
23/07/2022 08:00;203;0
23/07/2022 10:00;277;0
23/07/2022 12:00;264;0
23/07/2022 14:00;214;0
23/07/2022 16:00;220;0
23/07/2022 18:00;244;0
23/07/2022 20:00;224;0
23/07/2022 22:00;198;0
24/07/2022 00:00;1561;0
24/07/2022 02:00;6323;0
24/07/2022 04:00;5358;0
24/07/2022 06:00;156;0
24/07/2022 08:00;181;0
24/07/2022 10:00;217;0
24/07/2022 12:00;209;0
24/07/2022 14:00;192;0
24/07/2022 16:00;204;0
24/07/2022 18:00;207;0
24/07/2022 20:00;217;0
24/07/2022 22:00;185;0
25/07/2022 00:00;1546;0
25/07/2022 02:00;6398;0
